"phase","prompt_tokens","completion_tokens","total_tokens","wall_s"
"phase_3_generate_iot","6618","917","7535","12.102"
"phase_3_generate_tsfm","8448","812","9260","12.18"
"phase_3_repair_tsfm","6263","153","6416","3.175"
"phase_3_generate_fmsr","6778","1281","8059","18.016"
"phase_3_generate_wo","7389","455","7844","6.777"
"phase_3_generate_fmsr","7102","277","7379","3.994"
"phase_3_repair_fmsr","6260","122","6382","1.927"
"phase_3_generate_fmsr","7134","153","7287","2.254"
"phase_3_repair_fmsr","6276","152","6428","2.251"
"phase_4_generate_validate_multiagent","11552","1265","12817","14.84"
"phase_3_repair_multiagent","6696","365","7061","4.013"
"phase_4_generate_validate_multiagent","11552","356","11908","4.331"
"phase_3_repair_multiagent","6438","238","6676","3.169"
