"id","type","category","static_score","llm_score","dry_run_score","quality_score","static_issues","llm_suggestion","dry_run_issues"
"transformer_scenario_01","iot","Knowledge Query","20","30","15","65","none","None","Steps 2 and 5 used 'none' server, Step 4 had invalid date format"
"transformer_scenario_02","iot","Knowledge Query","20","30","35.1","85.1","none","None","step 2 used 'none.' server and resulted in ERROR(Unknown server 'none'. Registered servers: ['iot', 'utilities', 'fmsr', 'tsfm', 'wo', 'vibration'])"
"transformer_scenario_03","iot","Data Query","20","22","35","77","none","The task requires the use of get_history tool but the provided signature does not match the required parameters, specifically the 'final' parameter is not clearly defined in the task context and 'end' is missing, it should be either adjusted or additional information should be given.","Steps 2 and 4 used 'none' server which is incorrect, resulting in ERROR(Unknown server 'none'...)"
"transformer_scenario_04","iot","Knowledge Query","20","30","7.5","57.5","none","None","[""step 2 used unknown server 'none'"", ""step 4 used unknown server 'none'"", ""step 6 used unknown server 'none'"", ""step 5 had 'Invalid date format' error""]"
"transformer_scenario_05","iot","Knowledge Query","20","30","11.3","61.3","none","None","[""Step 2 used 'none' server"", ""Step 4 used incorrect arguments for 'get_history' tool"", 'Final answer indicates an error and suggests querying each sensor individually']"
"transformer_scenario_06","iot","Data Query","20","30","42.4","92.4","none","None","Step 2 used 'none' server which resulted in an error"
"transformer_scenario_07","iot","Knowledge Query","20","30","15","65","none","None","The final answer indicates a validation error due to incorrect input type for sensor names. The get_history tool call in step 3 should have used a string or iterated over the list of sensor names instead of passing the list directly."
"transformer_scenario_08","iot","Data Query","20","30","46.2","96.2","none","None","step 1 used 'iot.none' server"
"transformer_scenario_09","fmsr","Diagnostic Assessment","20","30","44","94","none","None","Step 5 used 'none' server which resulted in an error"
"transformer_scenario_10","fmsr","Diagnostic Assessment","20","30","50","100","none","None","None"
"transformer_scenario_11","fmsr","Recommendation","20","30","44.8","94.8","none","None","Step 6 used 'none' server, Step 5 was called with an empty 'sensors' list"
"transformer_scenario_12","fmsr","Diagnostic Assessment","20","30","15","65","none","None","The final answer indicates a failure in the process, step 1, 2, and 3 results contradict the 'OK' status in the trajectory, null values passed to predict_health_index"
"transformer_scenario_13","fmsr","Diagnostic Assessment","20","30","44","94","none","None","Step 5 used 'none' server which resulted in an error"
"transformer_scenario_14","fmsr","Diagnostic Assessment","20","30","50","100","none","None","None"
"transformer_scenario_15","fmsr","Diagnostic Assessment","20","30","50","100","none","None","None"
"transformer_scenario_16","fmsr","Recommendation","20","30","44","94","none","None","Step 5 used 'none' server which resulted in an error"
"transformer_scenario_17","fmsr","Recommendation","20","30","44.8","94.8","none","None","Step 6 used 'none.' server which resulted in an error"
